Seat,Winner,Year
IN06,R,2020
IN07,D,2020
IN08,R,2020
IN09,R,2020
IA01,R,2020
IA02,R,2020
IA03,D,2020
IA04,R,2020
KS01,R,2020
KS02,R,2020
KS03,D,2020
KS04,R,2020
KY01,R,2020
KY02,R,2020
KY03,D,2020
KY04,R,2020
KY05,R,2020
KY06,R,2020
LA01,R,2020
LA02,D,2020
LA03,R,2020
LA04,R,2020
LA05,R,2020
LA06,R,2020
ME01,D,2020
ME02,D,2020
MD01,R,2020
MD02,D,2020
MD03,D,2020
MD04,D,2020
MD05,D,2020
MD06,D,2020
MD07,D,2020
MD08,D,2020
MA01,D,2020
MA02,D,2020
MA03,D,2020
MA04,D,2020
MA05,D,2020
MA06,D,2020
MA07,D,2020
MA08,D,2020
MA09,D,2020
MI01,R,2020
MI02,R,2020
MI03,R,2020
MI04,R,2020
MI05,D,2020
MI06,R,2020
MI07,R,2020
MI08,D,2020
MI09,D,2020
MI10,R,2020
MI11,D,2020
MI12,D,2020
MI13,D,2020
MI14,D,2020
MN01,R,2020
MN02,D,2020
MN03,D,2020
MN04,D,2020
MN05,D,2020
MN06,R,2020
MN07,R,2020
MN08,R,2020
MS01,R,2020
MS02,D,2020
MS03,R,2020
MS04,R,2020
MO01,D,2020
MO02,R,2020
MO03,R,2020
MO04,R,2020
MO05,D,2020
MO06,R,2020
MO07,R,2020
MO08,R,2020
MT01,R,2020
NE01,R,2020
NE02,R,2020
NE03,R,2020
NV01,D,2020
NV02,R,2020
NV03,D,2020
NV04,D,2020
NH01,D,2020
NH02,D,2020
NJ01,D,2020
NJ02,R,2020
NJ03,D,2020
NJ04,R,2020
NJ05,D,2020
NJ06,D,2020
NJ07,D,2020
NJ08,D,2020
NJ09,D,2020
NJ10,D,2020
NJ11,D,2020
NJ12,D,2020
NM01,D,2020
NM02,R,2020
NM03,D,2020
NY01,R,2020
NY02,R,2020
NY03,D,2020
NY04,D,2020
NY05,D,2020
NY06,D,2020
NY07,D,2020
NY08,D,2020
NY09,D,2020
NY10,D,2020
NY11,R,2020
NY12,D,2020
NY13,D,2020
NY14,D,2020
NY15,D,2020
NY16,D,2020
NY17,D,2020
NY18,D,2020
NY19,D,2020
NY20,D,2020
NY21,R,2020
NY22,R,2020
NY23,R,2020
NY24,R,2020
NY25,D,2020
NY26,D,2020
NY27,R,2020
NC01,D,2020
NC02,D,2020
NC03,R,2020
NC04,D,2020
NC05,R,2020
NC06,D,2020
NC07,R,2020
NC08,R,2020
NC09,R,2020
NC10,R,2020
NC11,R,2020
NC12,D,2020
NC13,R,2020
ND01,R,2020
OH01,R,2020
OH02,R,2020
OH03,D,2020
OH04,R,2020
OH05,R,2020
OH06,R,2020
OH07,R,2020
OH08,R,2020
OH09,D,2020
OH10,R,2020
OH11,D,2020
OH12,R,2020
OH13,D,2020
OH14,R,2020
OH15,R,2020
OH16,R,2020
OK01,R,2020
OK02,R,2020
OK03,R,2020
OK04,R,2020
OK05,R,2020
OR01,D,2020
OR02,R,2020
OR03,D,2020
OR04,D,2020
OR05,D,2020
PA01,R,2020
PA02,D,2020
PA03,D,2020
PA04,D,2020
PA05,D,2020
PA06,D,2020
PA07,D,2020
PA08,D,2020
PA09,R,2020
PA10,R,2020
PA11,R,2020
PA12,R,2020
PA13,R,2020
PA14,R,2020
PA15,R,2020
PA16,R,2020
PA17,D,2020
PA18,D,2020
RI01,D,2020
RI02,D,2020
SC01,R,2020
SC02,R,2020
SC03,R,2020
SC04,R,2020
SC05,R,2020
SC06,D,2020
SC07,R,2020
SD01,R,2020
TN01,R,2020
TN02,R,2020
TN03,R,2020
TN04,R,2020
TN05,D,2020
TN06,R,2020
TN07,R,2020
TN08,R,2020
TN09,D,2020
TX01,R,2020
TX02,R,2020
TX03,R,2020
TX04,R,2020
TX05,R,2020
TX06,R,2020
TX07,D,2020
TX08,R,2020
TX09,D,2020
TX10,R,2020
TX11,R,2020
TX12,R,2020
TX13,R,2020
TX14,R,2020
TX15,D,2020
TX16,D,2020
TX17,R,2020
TX18,D,2020
TX19,R,2020
TX20,D,2020
TX21,R,2020
TX22,R,2020
TX23,R,2020
TX24,R,2020
TX25,R,2020
TX26,R,2020
TX27,R,2020
TX28,D,2020
TX29,D,2020
TX30,D,2020
TX31,R,2020
TX32,D,2020
TX33,D,2020
TX34,D,2020
TX35,D,2020
TX36,R,2020
UT01,R,2020
UT02,R,2020
UT03,R,2020
UT04,R,2020
VT01,D,2020
VA01,R,2020
VA02,D,2020
VA03,D,2020
VA04,D,2020
VA05,R,2020
VA06,R,2020
VA07,D,2020
VA08,D,2020
VA09,R,2020
VA10,D,2020
VA11,D,2020
WA01,D,2020
WA02,D,2020
WA03,R,2020
WA04,R,2020
WA05,R,2020
WA06,D,2020
WA07,D,2020
WA08,D,2020
WA09,D,2020
WA10,D,2020
WV01,R,2020
WV02,R,2020
WV03,R,2020
WI01,R,2020
WI02,D,2020
WI03,D,2020
WI04,D,2020
WI05,R,2020
WI06,R,2020
WI07,R,2020
WI08,R,2020
WY01,R,2020
DC01,D,2020
