Seat,Candidate,Party,Raised,Spent,Percent,Votes,Winner,Incumbent
CA32,Grace Napolitano ,dem,"$478,426","$251,047",66.6,"172,942",Y,Y
CA32,Joshua Scott ,gop,"$23,624","$14,248",33.4,"86,818",N,N
CA33,Ted Lieu ,dem,"$1,661,436","$1,582,573",67.6,"257,094",Y,Y
CA33,James Bradley ,gop,"$78,910","$79,035",32.4,"123,334",N,N
CA34,Jimmy Gomez ,dem,"$1,401,166","$1,268,312",53,"108,792",Y,Y
CA34,David Kim ,dem,"$193,430","$80,381",47,"96,554",N,N
CA35,Norma Torres ,dem,"$654,727","$664,600",69.3,"169,405",Y,Y
CA35,Mike Cargile ,gop,"$36,113","$35,915",30.7,"74,941",N,N
CA36,Raul Ruiz ,dem,"$2,402,624","$1,732,443",60.3,"185,151",Y,Y
CA36,Erin Cruz ,gop,"$54,217","$53,840",39.7,"121,698",N,N
CA37,Karen Bass ,dem,"$2,216,467","$1,202,942",85.9,"254,916",Y,Y
CA37,Errol Webber ,gop,"$66,398","$174,076",14.1,"41,705",N,N
CA38,Linda Sanchez ,dem,"$1,246,008","$1,140,165",74.3,"190,467",Y,Y
CA39,Young Kim ,gop,"$6,424,556","$6,021,651",50.6,"173,946",Y,N
CA39,Gil Cisneros ,dem,"$4,370,133","$4,350,464",49.4,"169,837",N,Y
CA40,Lucille Roybal-Allard ,dem,"$739,790","$741,379",72.7,"135,572",Y,Y
CA40,Antonio Delgado ,gop,"$85,014","$79,270",27.3,"50,809",N,N
CA41,Mark Takano ,dem,"$1,020,456","$949,494",64,"168,126",Y,Y
CA41,Aja Smith ,gop,"$660,658","$659,909",36,"94,447",N,N
CA42,Ken Calvert ,gop,"$1,441,812","$1,549,113",57.1,"210,274",Y,Y
CA42,Liam O'Mara ,dem,"$130,065","$128,782",42.9,"157,773",N,N
CA43,Maxine Waters ,dem,"$1,836,660","$1,906,957",71.7,"199,210",Y,Y
CA43,Joe Collins ,gop,"$10,556,626","$9,921,103",28.3,"78,688",N,N
CA44,Nanette Barragan ,dem,"$1,173,909","$714,023",67.8,"139,661",Y,Y
CA45,Katie Porter ,dem,"$16,627,706","$6,443,700",53.5,"221,843",Y,Y
CA45,Greg Raths ,gop,"$1,245,767","$1,241,713",46.5,"193,096",N,N
CA46,Lou Correa ,dem,"$1,192,715","$650,707",68.8,"157,803",Y,Y
CA47,Alan Lowenthal ,dem,"$678,648","$854,902",63.3,"197,028",Y,Y
CA47,John Briscoe ,gop,"$25,302","$21,538",36.7,"114,371",N,N
CA48,Michelle Steel ,gop,"$6,305,665","$6,148,591",51.1,"201,738",Y,N
CA48,Harley Rouda ,dem,"$5,968,858","$6,174,443",48.9,"193,362",N,Y
CA49,Mike Levin ,dem,"$3,845,768","$2,901,566",53.1,"205,349",Y,Y
CA49,Brian Maryott ,gop,"$2,810,253","$2,808,217",46.9,"181,157",N,N
CA50,Darrell Issa ,gop,"$11,239,670","$10,947,106",54,"195,521",Y,N
CA50,Ammar Campa-Najjar ,dem,"$6,248,210","$6,247,762",46,"166,869",N,N
CA51,Juan Vargas ,dem,"$799,734","$801,671",68.3,"165,596",Y,Y
CA51,Juan Hidalgo ,gop,"$83,730","$81,182",31.7,"76,841",N,N
CA52,Scott Peters ,dem,"$1,911,791","$2,131,849",61.6,"244,145",Y,Y
CO01,Diana DeGette ,dem,"$1,201,026","$1,077,130",73.6,"331,621",Y,Y
CO02,Joseph Neguse ,dem,"$1,353,325","$674,602",61.5,"316,925",Y,Y
CO02,Charles Winn ,gop,"$98,338","$98,338",35.4,"182,547",N,N
CO03,Lauren Boebert ,gop,"$2,989,510","$2,632,716",51.4,"220,634",Y,N
CO03,Diane Mitsch Bush ,dem,"$5,008,274","$4,984,238",45.2,"194,122",N,N
CO04,Ken Buck ,gop,"$478,984","$539,393",60.1,"285,606",Y,Y
CO04,Ike McCorkle ,dem,"$369,871","$217,398",36.6,"173,945",N,N
CO05,Doug Lamborn ,gop,"$540,712","$329,011",57.6,"249,013",Y,Y
CO05,Jillian Freeland ,dem,"$185,255","$175,548",37.4,"161,600",N,N
CO06,Jason Crow ,dem,"$4,136,137","$2,892,443",57.1,"250,314",Y,Y
CO06,Steven House ,gop,"$1,200,056","$1,198,044",40,"175,192",N,N
CO07,Ed Perlmutter ,dem,"$1,632,262","$1,339,482",59.1,"250,525",Y,Y
CO07,Casper Stockham ,gop,"$147,872","$147,872",37.6,"159,301",N,N
CT01,John Larson ,dem,"$1,377,238","$1,323,690",63.8,"222,668",Y,Y
CT01,Mary Fay ,gop,"$26,836","$25,118",35,"122,111",N,N
CT02,Joe Courtney ,dem,"$964,731","$999,360",59.4,"217,982",Y,Y
CT02,Justin Anderson ,gop,"$80,227","$78,767",38.2,"140,340",N,N
CT03,Rosa DeLauro ,dem,"$1,938,999","$1,795,635",58.7,"203,265",Y,Y
CT03,Margaret Streicker ,gop,"$1,839,080","$1,835,385",39.8,"137,596",N,N
CT04,Jim Himes ,dem,"$1,612,935","$2,180,029",62.2,"223,832",Y,Y
CT04,Jonathan Riddle ,gop,"$31,591","$17,385",36.3,"130,627",N,N
CT05,Jahana Hayes ,dem,"$2,037,826","$1,564,685",55.1,"192,484",Y,Y
CT05,David Sullivan ,gop,"$397,395","$397,370",43.5,"151,988",N,N
DE01,Lisa Blunt Rochester ,dem,"$2,024,201","$1,305,618",57.6,"281,382",Y,Y
DE01,Lee Murphy ,gop,"$131,394","$131,862",40.2,"196,392",N,N
FL01,Matt Gaetz ,gop,"$5,946,646","$4,482,782",64.6,"283,352",Y,Y
FL01,Phil Ehr ,dem,"$2,025,099","$1,900,451",34,"149,172",N,N
FL02,Neal Dunn ,gop,"$653,488","$637,580",0,0,Y,Y
FL03,Kat Cammack ,gop,"$1,122,188","$1,090,334",57.1,"223,075",Y,N
FL03,Adam Christensen ,dem,"$216,021","$219,108",42.9,"167,326",N,N
FL04,John Rutherford ,gop,"$1,024,912","$1,283,701",61.1,"308,497",Y,Y
FL04,Donna Deegan ,dem,"$1,013,157","$1,013,157",38.9,"196,423",N,N
FL05,Al Lawson ,dem,"$848,498","$695,779",65.1,"219,463",Y,Y
FL05,Gary Adler ,gop,"$146,909","$146,909",34.9,"117,510",N,N
FL06,Michael Waltz ,gop,"$2,549,667","$1,716,768",60.6,"265,393",Y,Y
FL06,Clint Curtis ,dem,"$24,310","$22,251",39.4,"172,305",N,N
FL07,Stephanie Murphy ,dem,"$3,124,692","$1,798,549",55.3,"224,946",Y,Y
FL07,Leo Valentin ,gop,"$1,045,426","$1,031,316",43.2,"175,750",N,N
FL08,Bill Posey ,gop,"$985,268","$1,121,834",61.4,"282,093",Y,Y
FL08,James Kennedy ,dem,"$138,568","$138,790",38.6,"177,695",N,N
FL09,Darren Soto ,dem,"$1,111,750","$945,868",56,"240,724",Y,Y
FL09,William Olson ,gop,"$404,406","$401,088",44,"188,889",N,N
FL10,Val Demings ,dem,"$1,876,047","$1,191,020",63.6,"239,434",Y,Y
FL10,Vennia Francois ,gop,"$335,480","$332,852",36.4,"136,889",N,N
FL11,Daniel Webster ,gop,"$691,261","$586,965",66.7,"316,979",Y,Y
FL11,Dana Cottrell ,dem,"$62,658","$62,380",33.3,"158,094",N,N
FL12,Gus Bilirakis ,gop,"$1,604,137","$1,548,634",62.9,"284,941",Y,Y
FL12,Kim Walker ,dem,"$42,802","$33,544",37.1,"168,194",N,N
FL13,Charlie Crist ,dem,"$2,720,646","$3,980,695",53,"215,405",Y,Y
FL13,Anna Paulina Luna ,gop,"$3,302,944","$3,262,236",47,"190,713",N,N
FL14,Kathy Castor ,dem,"$884,651","$1,201,653",60.3,"224,240",Y,Y
FL14,Christine Quinn ,gop,"$242,144","$241,187",39.7,"147,896",N,N
FL15,Scott Franklin ,gop,"$1,663,898","$1,638,417",55.4,"216,374",Y,N
FL15,Alan Cohn ,dem,"$2,333,053","$2,300,197",44.6,"174,297",N,N
FL16,Vernon Buchanan ,gop,"$3,094,611","$3,100,766",55.5,"269,001",Y,Y
FL16,Margaret Good ,dem,"$3,411,924","$3,407,845",44.5,"215,683",N,N
FL17,Greg Steube ,gop,"$759,908","$621,200",64.6,"266,514",Y,Y
FL17,Allen Ellison ,dem,"$83,481","$78,243",34.1,"140,487",N,N
FL18,Brian Mast ,gop,"$6,128,177","$5,301,307",56.3,"253,286",Y,Y
FL18,Pam Keith ,dem,"$1,639,873","$1,632,736",41.5,"186,674",N,N
FL19,Byron Donalds ,gop,"$3,219,579","$2,738,685",61.3,"272,440",Y,N
FL19,Cindy Banyai ,dem,"$214,750","$203,430",38.7,"172,146",N,N
FL20,Alcee Hastings ,dem,"$607,649","$543,316",78.7,"253,661",Y,Y
FL20,Greg Musselwhite ,gop,"$28,955","$27,538",21.3,"68,748",N,N
FL21,Lois Frankel ,dem,"$1,534,882","$1,309,786",59,"237,925",Y,Y
FL21,Laura Loomer ,gop,"$2,271,604","$2,240,689",39.1,"157,612",N,N
FL22,Ted Deutch ,dem,"$1,364,438","$1,265,494",58.6,"235,764",Y,Y
FL22,Jim Pruden ,gop,"$278,416","$278,416",41.4,"166,553",N,N
FL23,Debbie Wasserman Schultz ,dem,"$2,191,922","$1,979,903",58.2,"221,239",Y,Y
FL23,Carla Spalding ,gop,"$919,579","$903,561",41.8,"158,874",N,N
FL24,Frederica Wilson ,dem,"$412,592","$321,019",75.6,"218,825",Y,Y
FL24,Lavern Spicer ,gop,"$34,973","$34,909",20.4,"59,084",N,N
FL25,Mario Diaz-Balart ,gop,"$1,590,134","$804,054",0,0,Y,Y
FL26,Carlos Gimenez ,gop,"$2,226,559","$2,187,389",51.7,"177,223",Y,N
FL26,Debbie Mucarsel-Powell ,dem,"$6,793,521","$6,822,740",48.3,"165,407",N,Y
FL27,Maria Salazar ,gop,"$3,654,190","$3,645,814",51.4,"176,141",Y,N
FL27,Donna Shalala ,dem,"$3,842,907","$3,735,966",48.6,"166,758",N,Y
GA01,Buddy Carter ,gop,"$2,315,487","$1,734,754",58.3,"189,457",Y,Y
GA01,Joyce Griggs ,dem,"$130,043","$125,000",41.7,"135,238",N,N
GA02,Sanford Bishop ,dem,"$1,540,683","$1,440,571",59.1,"161,397",Y,Y
GA02,Don Cole ,gop,"$164,274","$162,522",40.9,"111,620",N,N
GA03,Drew Ferguson ,gop,"$2,374,212","$2,150,911",65,"241,526",Y,Y
GA03,Val Almonord ,dem,"$35,762","$31,946",35,"129,792",N,N
GA04,Hank Johnson ,dem,"$628,303","$490,360",80.1,"278,906",Y,Y
GA05,Nikema Williams ,dem,"$553,964","$362,801",85.1,"301,857",Y,N
GA05,Angela Stanton-King ,gop,"$305,279","$301,338",14.9,"52,646",N,N
GA06,Lucy McBath ,dem,"$8,507,298","$8,586,054",54.6,"216,775",Y,Y
GA06,Karen Handel ,gop,"$3,026,243","$3,072,932",45.4,"180,329",N,N
GA07,Carolyn Bourdeaux ,dem,"$5,133,244","$5,161,230",51.4,"190,900",Y,N
GA07,Richard McCormick ,gop,"$2,595,446","$2,563,724",48.6,"180,564",N,N
GA08,Austin Scott ,gop,"$821,745","$716,159",64.5,"198,701",Y,Y
GA08,Lindsay Holliday ,dem,"$7,480","$5,220",35.5,"109,264",N,N
GA09,Andrew Clyde ,gop,"$1,569,425","$1,561,316",78.6,"292,750",Y,N
GA09,Devin Pandy ,dem,"$84,272","$84,623",21.4,"79,797",N,N
GA10,Jody Hice ,gop,"$595,947","$457,648",62.3,"235,810",Y,Y
GA10,Tabitha Johnson-Green ,dem,"$14,808","$12,214",37.7,"142,636",N,N
GA11,Barry Loudermilk ,gop,"$877,767","$700,851",60.4,"245,259",Y,Y
GA11,Dana Barrett ,dem,"$404,625","$394,977",39.6,"160,623",N,N
GA12,Richard W Allen ,gop,"$1,228,970","$662,818",58.4,"181,038",Y,Y
GA12,Liz Johnson ,dem,"$72,061","$72,061",41.6,"129,061",N,N
GA13,David Scott ,dem,"$1,209,614","$1,131,746",77.4,"279,045",Y,Y
GA13,Becky Hites ,gop,"$63,509","$62,935",22.6,"81,476",N,N
GA14,Marjorie Taylor Greene ,gop,"$2,596,914","$2,237,599",74.7,"229,827",Y,N
HI01,Ed Case ,dem,"$508,249","$472,569",72,"183,245",N,Y
HI01,Ron Curtis ,gop,"$12,538","$12,647",28,"71,188",N,N
HI02,Kai Kahele ,dem,"$1,235,523","$1,039,637",63,"171,517",Y,N
HI02,Joe Akana ,gop,"$54,534","$55,344",30.9,"84,027",N,N
ID01,Russ Fulcher ,gop,"$575,485","$508,457",67.8,"310,736",Y,Y
ID01,Rudy Soto ,dem,"$302,902","$302,902",28.6,"131,380",N,N
ID02,Mike Simpson ,gop,"$1,008,847","$1,099,604",64.1,"250,669",Y,Y
ID02,Aaron Swisher ,dem,"$70,674","$70,268",31.7,"124,151",N,N
IL01,Bobby Rush ,dem,"$541,435","$496,454",73.8,"239,943",Y,Y
IL01,Philanise White ,gop,"$6,289","$5,048",26.2,"85,027",N,N
IL02,Robin Kelly ,dem,"$1,634,783","$1,108,137",78.8,"234,896",Y,Y
IL03,Marie Newman ,dem,"$2,802,093","$2,699,323",56.4,"172,997",Y,N
IL03,Mike Fricilone ,gop,"$128,458","$127,980",43.6,"133,851",N,N
IL04,Jesus Garcia ,dem,"$822,846","$711,159",84.1,"187,219",Y,Y
IL04,Jesus Solorio Jr ,gop,"$2,065",$843,15.9,"35,518",N,N
IL05,Mike Quigley ,dem,"$1,171,507","$926,655",70.8,"255,661",Y,Y
IL06,Sean Casten ,dem,"$5,582,179","$5,313,570",52.8,"213,777",Y,Y
IL06,Jeanne Ives ,gop,"$3,157,771","$3,135,464",45.4,"183,891",N,N
IL07,Danny K Davis ,dem,"$544,690","$505,506",80.4,"249,383",Y,Y
IL08,Raja Krishnamoorthi ,dem,"$6,358,878","$2,207,703",73.2,"186,251",Y,Y
IL10,Brad Schneider ,dem,"$3,459,512","$2,873,333",63.9,"202,402",Y,Y
IL10,Valerie Ramirez Mukherjee ,gop,"$130,225","$64,764",36.1,"114,442",N,N
IL11,Bill Foster ,dem,"$2,381,354","$1,823,906",63.3,"194,557",Y,Y
IL11,Rick Laib ,gop,"$20,343","$20,064",36.7,"112,807",N,N
IL12,Mike Bost ,gop,"$1,918,041","$1,509,573",60.4,"194,839",Y,Y
IL12,Ray Lenzi ,dem,"$161,324","$104,809",39.6,"127,577",N,N
IL13,Rodney Davis ,gop,"$4,943,459","$4,822,600",54.5,"181,373",Y,Y
IL13,Betsy Dirksen Londrigan ,dem,"$5,297,007","$5,281,880",45.5,"151,648",N,N
IL14,Lauren A Underwood ,dem,"$7,803,579","$7,301,503",50.7,"203,209",Y,Y
IL14,Jim Oberweis ,gop,"$2,438,857","$2,348,798",49.3,"197,835",N,N
IL15,Mary Miller ,gop,"$689,057","$570,356",73.4,"244,947",Y,N
IL15,Erika Weaver ,dem,"$58,689","$23,349",26.6,"88,559",N,N
IL16,Adam Kinzinger ,gop,"$2,105,736","$1,588,550",64.7,"218,839",Y,Y
IL16,Dani Brzozowski ,dem,"$459,344","$376,167",35.3,"119,313",N,N
IL17,Cheri Bustos ,dem,"$4,975,192","$6,391,009",52,"156,011",Y,Y
IL17,Esther Joy King ,gop,"$2,032,878","$2,030,587",48,"143,863",N,N
IN01,Frank Mrvan Jr ,dem,"$578,635","$464,407",56.6,"185,180",Y,N
IN01,Mark Leyva ,gop,"$16,551","$15,343",40.4,"132,247",N,N
IN02,Jackie Walorski ,gop,"$2,383,467","$1,698,202",61.5,"183,601",Y,Y
IN02,Pat Hackett ,dem,"$881,888","$867,301",38.5,"114,967",N,N
IN03,Jim Banks ,gop,"$1,202,509","$769,591",67.8,"220,989",Y,Y
IN03,Chip Coldiron ,dem,"$94,056","$89,883",32.2,"104,762",N,N
IN04,Jim Baird ,gop,"$327,727","$190,158",66.6,"225,531",Y,Y
IN04,Joe Mackey ,dem,"$44,585","$43,213",33.4,"112,984",N,N
IN05,Victoria Spartz ,gop,"$3,119,328","$3,010,203",50,"208,212",Y,N
IN05,Christina Hale ,dem,"$4,010,368","$3,998,905",45.9,"191,226",N,N
IN06,Greg Pence ,gop,"$3,114,448","$2,804,148",68.7,"225,318",Y,Y
IN06,Jeannine Lee Lake ,dem,"$143,089","$145,315",27.8,"91,103",N,N
IN07,Andre Carson ,dem,"$1,011,635","$873,962",62.4,"176,422",Y,Y
IN07,Susan Marie Smith ,gop,"$62,905","$59,843",37.6,"106,146",N,N
IN08,Larry Bucshon ,gop,"$1,051,336","$1,078,646",66.9,"214,643",Y,Y
IN08,Thomasina Marsili ,dem,"$68,734","$68,480",29.8,"95,691",N,N
IN09,Trey Hollingsworth ,gop,"$1,166,754","$501,136",60.9,"218,606",Y,Y
IN09,Andy Ruff ,dem,"$148,263","$134,906",34.8,"124,826",N,N
IA01,Ashley Hinson ,gop,"$5,175,883","$5,059,211",51.3,"212,088",Y,N
IA01,Abby Finkenauer ,dem,"$5,901,441","$5,875,405",48.7,"201,347",N,Y
IA02,Mariannette Miller-Meeks ,gop,"$2,174,194","$1,721,926",50,"196,964",Y,N
IA02,Rita Hart ,dem,"$4,232,992","$4,114,400",50,"196,958",N,N
IA03,Cindy Axne ,dem,"$6,236,976","$6,236,994",49,"219,205",Y,Y
IA03,David Young ,gop,"$3,170,072","$3,094,582",47.6,"212,997",N,N
IA04,Randy Feenstra ,gop,"$1,906,234","$1,894,288",62.1,"237,369",Y,N
IA04,J.D. Scholten ,dem,"$2,885,915","$2,902,003",37.9,"144,761",N,N
KS01,Tracey Mann ,gop,"$1,403,353","$1,127,156",71.2,"208,229",Y,N
KS01,Kali Barnett ,dem,"$603,036","$592,924",28.8,"84,393",N,N
KS02,Michelle De La Isla ,dem,"$1,825,085","$1,810,968",40.6,"136,650",N,N
KS03,Sharice Davids ,dem,"$5,638,552","$5,168,034",53.6,"220,049",Y,Y
KS03,Amanda Adkins ,gop,"$2,182,382","$2,139,673",43.6,"178,773",N,N
KS04,Ron Estes ,gop,"$1,993,808","$1,420,188",63.7,"203,432",Y,Y
KS04,Laura Lombard ,dem,"$264,459","$258,684",36.3,"116,166",N,N
KY01,James Comer ,gop,"$736,116","$502,554",75,"246,329",Y,Y
KY02,Brett Guthrie ,gop,"$1,412,797","$1,566,622",71,"255,735",Y,Y
KY02,Hank Linderman ,dem,"$93,388","$71,122",26.3,"94,643",N,N
KY03,John Yarmuth ,dem,"$658,295","$690,226",62.7,"230,672",Y,Y
KY03,Rhonda Palazzo ,gop,"$46,144","$45,668",37.3,"137,425",N,N
KY04,Thomas Massie ,gop,"$1,457,316","$1,563,275",67.1,"256,613",Y,Y
KY04,Alexandra Owensby ,dem,"$156,174","$106,359",32.9,"125,896",N,N
KY05,Hal Rogers ,gop,"$664,168","$835,781",84.2,"250,914",Y,Y
KY06,Andy Barr ,gop,"$4,536,264","$4,316,239",57.3,"216,948",Y,Y
KY06,Josh Hicks ,dem,"$2,936,320","$2,935,615",41,"155,011",N,N
LA01,Steve Scalise ,gop,"$37,262,827","$32,830,607",72.2,"270,330",Y,Y
LA02,Cedric Richmond ,dem,"$1,628,289","$1,302,079",63.6,"201,636",Y,Y
LA03,Robert Jon Anderson ,dem,"$63,617","$48,015",11.6,"39,423",N,N
LA04,Mike Johnson ,gop,"$1,299,787","$1,039,393",60.4,"185,265",Y,Y
LA04,Kenny Houston ,dem,"$33,677","$33,407",25.5,"78,157",N,N
LA05,Luke Letlow ,gop,"$1,392,822","$1,303,757",33.1,"102,533",N,N
LA05,Candy Christophe ,dem,"$77,101","$131,161",16.4,"50,812",N,N
LA05,Martin Lemelle ,dem,"$173,796","$162,747",10.4,"32,186",N,N
LA06,Garret Graves ,gop,"$1,743,015","$1,200,287",71,"265,706",Y,Y
