Seat,Candidate,Party,Incumbent,Percent,Votes,Year
California_district_18,Kumar,dem,N,36.8,"126,751",2020
California_district_19,Aguilera,gop,N,28.3,"88,642",2020
California_district_20,Gorman,gop,N,23.2,"71,658",2020
California_district_21,Cox,dem,Y,49.6,"84,406",2020
California_district_22,Arballo,dem,N,45.8,"144,251",2020
California_district_23,Mangone,dem,N,37.9,"115,896",2020
California_district_24,Caldwell,gop,N,41.3,"149,781",2020
California_district_25,Smith,dem,N,50,"169,305",2020
California_district_26,Baldwin-Kennedy,gop,N,39.4,"135,877",2020
California_district_27,Nalbandian,gop,N,30.2,"95,907",2020
California_district_28,Early,gop,N,27.3,"91,928",2020
California_district_29,Duenas,dem,N,43.4,"91,524",2020
California_district_30,Reed,gop,N,30.5,"105,426",2020
California_district_31,Gibboney,gop,N,38.7,"110,735",2020
California_district_32,Scott,gop,N,33.4,"86,818",2020
California_district_33,Bradley,gop,N,32.4,"123,334",2020
California_district_34,Kim,dem,N,47,"96,554",2020
California_district_35,Cargile,gop,N,30.7,"74,941",2020
California_district_36,Cruz,gop,N,39.7,"121,698",2020
California_district_37,Webber,gop,N,14.1,"41,705",2020
California_district_38,Tolar,dem,N,25.7,"65,739",2020
California_district_39,Cisneros,dem,Y,49.4,"169,837",2020
California_district_40,Delgado,gop,N,27.3,"50,809",2020
California_district_41,Smith,gop,N,36,"94,447",2020
California_district_42,O'Mara,dem,N,42.9,"157,773",2020
California_district_43,Collins,gop,N,28.3,"78,688",2020
California_district_44,Joya,dem,N,32.2,"66,375",2020
California_district_45,Raths,gop,N,46.5,"193,096",2020
California_district_46,Waters,gop,N,31.2,"71,716",2020
California_district_47,Briscoe,gop,N,36.7,"114,371",2020
California_district_48,Rouda,dem,Y,48.9,"193,362",2020
California_district_49,Maryott,gop,N,46.9,"181,157",2020
California_district_50,Campa-Najjar,dem,N,46,"166,869",2020
California_district_51,Hidalgo,gop,N,31.7,"76,841",2020
California_district_52,DeBello,gop,N,38.4,"152,350",2020
California_district_53,Gomez,dem,N,40.5,"135,614",2020
Colorado_district_1,Bolling,gop,N,23.5,"105,955",2020
Colorado_district_2,Winn,gop,N,35.4,"182,547",2020
Colorado_district_3,Mitsch Bush,dem,N,45.2,"194,122",2020
Colorado_district_4,McCorkle,dem,N,36.6,"173,945",2020
Colorado_district_5,Freeland,dem,N,37.4,"161,600",2020
Colorado_district_6,House,gop,N,40,"175,192",2020
Colorado_district_7,Stockham,gop,N,37.6,"159,301",2020
Connecticut_district_1,Fay,gop,N,35,"122,111",2020
Connecticut_district_2,Anderson,gop,N,38.2,"140,340",2020
Connecticut_district_3,Streicker,gop,N,39.8,"137,596",2020
Connecticut_district_4,Riddle,gop,N,36.3,"130,627",2020
Connecticut_district_5,Sullivan,gop,N,43.5,"151,988",2020
Delaware_district_1,Murphy,gop,N,40.2,"196,392",2020
Florida_district_1,Ehr,dem,N,34,"149,172",2020
Florida_district_2,Dunn,gop,Y,0,0,2020
Florida_district_3,Christensen,dem,N,42.9,"167,326",2020
Florida_district_4,Deegan,dem,N,38.9,"196,423",2020
Florida_district_5,Adler,gop,N,34.9,"117,510",2020
Florida_district_6,Curtis,dem,N,39.4,"172,305",2020
Florida_district_7,Valentin,gop,N,43.2,"175,750",2020
Florida_district_8,Kennedy,dem,N,38.6,"177,695",2020
Florida_district_9,Olson,gop,N,44,"188,889",2020
Florida_district_10,Francois,gop,N,36.4,"136,889",2020
Florida_district_11,Cottrell,dem,N,33.3,"158,094",2020
Florida_district_12,Walker,dem,N,37.1,"168,194",2020
Florida_district_13,Luna,gop,N,47,"190,713",2020
Florida_district_14,Quinn,gop,N,39.7,"147,896",2020
Florida_district_15,Cohn,dem,N,44.6,"174,297",2020
Florida_district_16,Good,dem,N,44.5,"215,683",2020
Florida_district_17,Ellison,dem,N,34.1,"140,487",2020
Florida_district_18,Keith,dem,N,41.5,"186,674",2020
Florida_district_19,Banyai,dem,N,38.7,"172,146",2020
Florida_district_20,Musselwhite,gop,N,21.3,"68,748",2020
Florida_district_21,Loomer,gop,N,39.1,"157,612",2020
Florida_district_22,Pruden,gop,N,41.4,"166,553",2020
Florida_district_23,Spalding,gop,N,41.8,"158,874",2020
Florida_district_24,Spicer,gop,N,20.4,"59,084",2020
Florida_district_25,Diaz-Balart,gop,Y,0,0,2020
Florida_district_26,Mucarsel-Powell,dem,Y,48.3,"165,407",2020
Florida_district_27,Shalala,dem,Y,48.6,"166,758",2020
Georgia_district_1,Griggs,dem,N,41.7,"135,238",2020
Georgia_district_2,Cole,gop,N,40.9,"111,620",2020
Georgia_district_3,Almonord,dem,N,35,"129,792",2020
Georgia_district_4,Ezammudeen,gop,N,19.9,"69,393",2020
Georgia_district_5,Stanton-King,gop,N,14.9,"52,646",2020
Georgia_district_6,Handel,gop,N,45.4,"180,329",2020
Georgia_district_7,McCormick,gop,N,48.6,"180,564",2020
Georgia_district_8,Holliday,dem,N,35.5,"109,264",2020
Georgia_district_9,Pandy,dem,N,21.4,"79,797",2020
Georgia_district_10,Johnson-Green,dem,N,37.7,"142,636",2020
Georgia_district_11,Barrett,dem,N,39.6,"160,623",2020
Georgia_district_12,Johnson,dem,N,41.6,"129,061",2020
Georgia_district_13,Hites,gop,N,22.6,"81,476",2020
Georgia_district_14,Van Ausdal,dem,N,25.3,"77,798",2020
Hawaii_district_1,Curtis,gop,N,28,"71,188",2020
Hawaii_district_2,Akana,gop,N,30.9,"84,027",2020
Idaho_district_1,Soto,dem,N,28.6,"131,380",2020
Idaho_district_2,Swisher,dem,N,31.7,"124,151",2020
Illinois_district_1,White,gop,N,26.2,"85,027",2020
Illinois_district_2,Raborn,gop,N,21.2,"63,142",2020
Illinois_district_3,Fricilone,gop,N,43.6,"133,851",2020
Illinois_district_4,Solorio,gop,N,15.9,"35,518",2020
Illinois_district_5,Hanson,gop,N,26.6,"96,200",2020
Illinois_district_6,Ives,gop,N,45.4,"183,891",2020
Illinois_district_7,Cameron,gop,N,13.3,"41,390",2020
Illinois_district_8,Krishnamoorthi,dem,Y,73.2,"186,251",2020
Illinois_district_9,S. Sangari,gop,N,29,"107,125",2020
Illinois_district_10,Ramirez Mukherjee,gop,N,36.1,"114,442",2020
Illinois_district_11,Laib,gop,N,36.7,"112,807",2020
Illinois_district_12,Lenzi,dem,N,39.6,"127,577",2020
Illinois_district_13,Dirksen Londrigan,dem,N,45.5,"151,648",2020
Illinois_district_14,Oberweis,gop,N,49.3,"197,835",2020
Illinois_district_15,Weaver,dem,N,26.6,"88,559",2020
Illinois_district_16,Brzozowski,dem,N,35.3,"119,313",2020
Illinois_district_17,King,gop,N,48,"143,863",2020
Illinois_district_18,Petrilli,dem,N,29.6,"110,039",2020
Indiana_district_1,Leyva,gop,N,40.4,"132,247",2020
Indiana_district_2,Hackett,dem,N,38.5,"114,967",2020
Indiana_district_3,Coldiron,dem,N,32.2,"104,762",2020
Indiana_district_4,Mackey,dem,N,33.4,"112,984",2020
Indiana_district_5,Hale,dem,N,45.9,"191,226",2020
Indiana_district_6,Lake,dem,N,27.8,"91,103",2020
Indiana_district_7,Smith,gop,N,37.6,"106,146",2020
Indiana_district_8,Marsili,dem,N,29.8,"95,691",2020
Indiana_district_9,Ruff,dem,N,34.8,"124,826",2020
Iowa_district_1,Finkenauer,dem,Y,48.7,"201,347",2020
Iowa_district_2,Hart,dem,N,50,"196,958",2020
Iowa_district_3,Young,gop,N,47.6,"212,997",2020
Iowa_district_4,Scholten,dem,N,37.9,"144,761",2020
Kansas_district_1,Barnett,dem,N,28.8,"84,393",2020
Kansas_district_2,De La Isla,dem,N,40.6,"136,650",2020
Kansas_district_3,Adkins,gop,N,43.6,"178,773",2020
Kansas_district_4,Lombard,dem,N,36.3,"116,166",2020
Kentucky_district_1,Rhodes,dem,N,25,"82,141",2020
Kentucky_district_2,Linderman,dem,N,26.3,"94,643",2020
Kentucky_district_3,Palazzo,gop,N,37.3,"137,425",2020
Kentucky_district_4,Owensby,dem,N,32.9,"125,896",2020
Kentucky_district_5,Best,dem,N,15.8,"47,056",2020
Kentucky_district_6,Hicks,dem,N,41,"155,011",2020
Louisiana_district_1,Dugas,dem,N,25.3,"94,730",2020
Louisiana_district_2,Vincent,gop,N,4.9,"15,565",2020
Louisiana_district_3,Anderson,dem,N,11.6,"39,423",2020
Louisiana_district_4,Gibson,gop,N,6.3,"19,343",2020
Louisiana_district_5,Lemelle,dem,N,10.4,"32,186",2020
Louisiana_district_6,Williams,dem,N,25.5,"95,541",2020
Maine_district_1,Allen,gop,N,37.8,"165,008",2020
Maine_district_2,Crafts,gop,N,47,"175,228",2020
Maryland_district_1,Mason,dem,N,36.4,"143,877",2020
Maryland_district_2,Salling,gop,N,32.1,"106,355",2020
Maryland_district_3,Anthony,gop,N,30.1,"112,117",2020
Maryland_district_4,McDermott,gop,N,20.3,"71,671",2020
Maryland_district_5,Palombi,gop,N,31.1,"123,525",2020
Maryland_district_6,Parrott,gop,N,39.2,"143,599",2020
Maryland_district_7,Klacik,gop,N,28.1,"92,825",2020
Maryland_district_8,Coll,gop,N,31.6,"127,157",2020
Massachusetts_district_1,Neal,dem,Y,0,0,2020
Massachusetts_district_2,Lovvorn,gop,N,34.6,"132,220",2020
Massachusetts_district_3,Trahan,dem,Y,0,0,2020
Massachusetts_district_4,Hall,gop,N,39,"160,474",2020
Massachusetts_district_5,Colarusso,gop,N,25.6,"101,351",2020
Massachusetts_district_6,Moran,gop,N,34.5,"150,695",2020
Massachusetts_district_7,Pressley,dem,Y,87.4,"267,362",2020
Massachusetts_district_8,Lynch,dem,Y,81.2,"310,940",2020
Massachusetts_district_9,Brady,gop,N,36.4,"154,261",2020
Michigan_district_1,Ferguson,dem,N,36.8,"153,328",2020
Michigan_district_2,Berghoef,dem,N,38.2,"154,122",2020
Michigan_district_3,Scholten,dem,N,47,"189,769",2020
Michigan_district_4,Hilliard,dem,N,32.4,"120,802",2020
Michigan_district_5,Kelly,gop,N,41.8,"150,772",2020
Michigan_district_6,Hoadley,dem,N,40.2,"152,085",2020
Michigan_district_7,Driskell,dem,N,41.2,"159,743",2020
Michigan_district_8,Junge,gop,N,47.3,"202,525",2020
Michigan_district_9,Langworthy,gop,N,38.4,"153,296",2020
Michigan_district_10,Bizon,dem,N,33.7,"138,179",2020
Michigan_district_11,Esshaki,gop,N,47.8,"215,405",2020
Michigan_district_12,Jones,gop,N,30.7,"117,719",2020
Michigan_district_13,Dudenhoefer,gop,N,18.6,"53,311",2020
Michigan_district_14,Patrick,gop,N,18.3,"62,664",2020
Minnesota_district_1,Feehan,dem,N,45.6,"167,890",2020
Minnesota_district_2,Kistner,gop,N,46,"194,954",2020
Minnesota_district_3,Qualls,gop,N,44.4,"196,625",2020
Minnesota_district_4,Rechtzigel,gop,N,29,"112,730",2020
Minnesota_district_5,L. Johnson,gop,N,25.9,"102,878",2020
Minnesota_district_6,Zahradka,dem,N,34.2,"140,853",2020
Minnesota_district_7,Peterson,dem,Y,39.9,"144,840",2020
Minnesota_district_8,Nystrom,dem,N,37.6,"147,853",2020
Mississippi_district_1,Eliason,dem,N,31.3,"104,008",2020
Mississippi_district_2,Flowers,gop,N,34,"101,010",2020
Mississippi_district_3,Benford,dem,N,35.3,"120,782",2020
Mississippi_district_4,Palazzo,gop,Y,0,0,2020
Missouri_district_1,Rogers,gop,N,19,"59,940",2020
Missouri_district_2,Schupp,dem,N,45.5,"204,540",2020
Missouri_district_3,Rezabek,dem,N,28.5,"116,095",2020
Missouri_district_4,Simmons,dem,N,29.7,"107,635",2020
Missouri_district_5,Derks,gop,N,38.6,"135,934",2020
Missouri_district_6,Ross,dem,N,30.8,"118,926",2020
Missouri_district_7,Montseny,dem,N,26.7,"98,111",2020
Missouri_district_8,Ellis,dem,N,21.4,"70,561",2020
Montana_district_1,Williams,dem,N,43.6,"262,340",2020
Nebraska_district_1,Bolz,dem,N,37.7,"119,622",2020
Nebraska_district_2,Eastman,dem,N,46.2,"155,706",2020
Nebraska_district_3,Elworth,dem,N,17.7,"50,690",2020
Nevada_district_1,Bentley,gop,N,33.4,"74,490",2020
Nevada_district_2,Ackerman,dem,N,40.7,"155,780",2020
Nevada_district_3,Rodimer,gop,N,45.8,"190,975",2020
Nevada_district_4,Marchant,gop,N,45.8,"152,284",2020
New-Hampshire_district_1,Mowers,gop,N,46.2,"185,159",2020
New-Hampshire_district_2,Negron,gop,N,43.7,"168,886",2020
New-Jersey_district_1,Gustafson,gop,N,37.5,"144,463",2020
New-Jersey_district_2,Kennedy,dem,N,46.2,"173,849",2020
New-Jersey_district_3,Richter,gop,N,45.5,"196,327",2020
New-Jersey_district_4,S. Schmid,dem,N,38.3,"162,420",2020
New-Jersey_district_5,Pallotta,gop,N,45.6,"193,333",2020
New-Jersey_district_6,Onuoha,gop,N,38.8,"126,760",2020
New-Jersey_district_7,Kean Jr.,gop,N,49.4,"214,318",2020
New-Jersey_district_8,Mushnick,gop,N,24.6,"58,686",2020
New-Jersey_district_9,Prempeh,gop,N,31.9,"98,629",2020
New-Jersey_district_10,Zinone,gop,N,13.9,"40,298",2020
New-Jersey_district_11,Becchi,gop,N,46.7,"206,013",2020
New-Jersey_district_12,Razzoli,gop,N,32.6,"114,591",2020
New-Mexico_district_1,Garcia Holmes,gop,N,41.8,"134,337",2020
New-Mexico_district_2,Small,dem,Y,46.3,"122,546",2020
New-Mexico_district_3,Johnson,gop,N,41.3,"131,166",2020
New-York_district_1,Goroff,dem,N,45.1,"169,294",2020
New-York_district_2,Gordon,dem,N,46,"154,246",2020
New-York_district_3,Santos,gop,N,43.5,"161,931",2020
New-York_district_4,Tuman,gop,N,43,"153,007",2020
New-York_district_5,Meeks,dem,Y,0,0,2020
New-York_district_6,Zmich,gop,N,32,"74,829",2020
New-York_district_7,Kelly,gop,N,14.4,"32,520",2020
New-York_district_8,Wallace,gop,N,15.2,"42,007",2020
New-York_district_9,Jean-Pierre,gop,N,15.9,"43,950",2020
New-York_district_10,Bernstein,gop,N,24.2,"66,889",2020
New-York_district_11,Rose,dem,Y,46.9,"137,198",2020
New-York_district_12,Santiago-Cano,gop,N,16.5,"53,061",2020
New-York_district_13,Gwinn,gop,N,7.8,"19,829",2020
New-York_district_14,Cummings,gop,N,27.4,"58,440",2020
New-York_district_15,Delices,gop,N,11.1,"21,221",2020
New-York_district_16,Bowman,dem,N,84.2,"218,471",2020
New-York_district_17,McArdle Schulman,gop,N,35.3,"117,307",2020
New-York_district_18,Farley,gop,N,43.3,"145,098",2020
New-York_district_19,Van De Water,gop,N,43.2,"151,475",2020
New-York_district_20,Joy,gop,N,38.8,"139,446",2020
New-York_district_21,Cobb,dem,N,41.2,"131,992",2020
New-York_district_22,Brindisi,dem,Y,48.9,"154,997",2020
New-York_district_23,Mitrano,dem,N,41.1,"129,014",2020
New-York_district_24,Balter,dem,N,43,"147,721",2020
New-York_district_25,Mitris,gop,N,39.1,"136,198",2020
New-York_district_26,Donovan,gop,N,28.7,"91,687",2020
New-York_district_27,McMurray,dem,N,39,"149,559",2020
North-Carolina_district_1,Smith,gop,N,45.8,"159,748",2020
North-Carolina_district_2,Swain,gop,N,34.8,"172,544",2020
North-Carolina_district_3,Farrow,dem,N,36.6,"132,752",2020
North-Carolina_district_4,Thomas,gop,N,32.7,"161,298",2020
North-Carolina_district_5,Brown,dem,N,31.1,"119,846",2020
North-Carolina_district_6,Haywood,gop,N,37.7,"153,598",2020
North-Carolina_district_7,Ward,dem,N,39.7,"179,045",2020
North-Carolina_district_8,Timmons-Goodson,dem,N,46.7,"177,781",2020
North-Carolina_district_9,Wallace,dem,N,44.4,"179,463",2020
North-Carolina_district_10,Parker,dem,N,31.1,"128,189",2020
North-Carolina_district_11,Davis,dem,N,42.3,"190,609",2020
North-Carolina_district_12,Adams,dem,Y,0,0,2020
North-Carolina_district_13,Huffman,dem,N,31.8,"124,684",2020
North-Dakota_district_1,Raknerud,dem,N,27.6,"97,970",2020
Ohio_district_1,Schroder,dem,N,44.6,"172,022",2020
Ohio_district_2,Castle,dem,N,38.9,"146,781",2020
Ohio_district_3,Richardson,gop,N,29.2,"93,569",2020
Ohio_district_4,Freshour,dem,N,29.3,"101,897",2020
Ohio_district_5,Rubando,dem,N,32,"120,962",2020
Ohio_district_6,Roberts,dem,N,25.6,"85,661",2020
Ohio_district_7,Potter,dem,N,29.2,"102,271",2020
Ohio_district_8,Enoch,dem,N,31,"110,766",2020
Ohio_district_9,Weber,gop,N,36.9,"111,385",2020
Ohio_district_10,Tims,dem,N,41.6,"151,976",2020
Ohio_district_11,Gore,gop,N,19.9,"60,323",2020
Ohio_district_12,Shearer,dem,N,41.8,"182,847",2020
Ohio_district_13,Hagan,gop,N,44.9,"148,648",2020
Ohio_district_14,O'Connor Mueri,dem,N,39.9,"158,586",2020
Ohio_district_15,Newby,dem,N,36.6,"140,183",2020
Ohio_district_16,Godfrey,dem,N,36.8,"144,071",2020
Oklahoma_district_1,Asamoa-Caesar,dem,N,32.7,"109,641",2020
Oklahoma_district_2,Lanier,dem,N,22,"63,472",2020
Oklahoma_district_3,Midyett,dem,N,21.5,"66,501",2020
Oklahoma_district_4,Brannon,dem,N,28.8,"90,459",2020
Oklahoma_district_5,Horn,dem,Y,47.9,"145,658",2020
Oregon_district_1,Christensen,gop,N,35.3,"161,928",2020
Oregon_district_2,Spenser,dem,N,37,"168,881",2020
Oregon_district_3,Harbour,gop,N,23.5,"110,570",2020
Oregon_district_4,Skarlatos,gop,N,46.3,"216,081",2020
Oregon_district_5,Ryan Courser,gop,N,45.2,"204,372",2020
Pennsylvania_district_1,Finello,dem,N,43.4,"191,875",2020
Pennsylvania_district_2,Torres,gop,N,27.5,"75,022",2020
Pennsylvania_district_3,Harvey,gop,N,9,"33,671",2020
Pennsylvania_district_4,Barnette,gop,N,40.5,"179,926",2020
Pennsylvania_district_5,Pruett,gop,N,35.3,"139,552",2020
Pennsylvania_district_6,Emmons,gop,N,43.9,"177,526",2020
Pennsylvania_district_7,Scheller,gop,N,48.1,"181,407",2020
Pennsylvania_district_8,Bognet,gop,N,48.2,"165,783",2020
Pennsylvania_district_9,Wegman,dem,N,33.7,"118,266",2020
Pennsylvania_district_10,DePasquale,dem,N,44.4,"182,938",2020
Pennsylvania_district_11,Hammond,dem,N,36.9,"141,325",2020
Pennsylvania_district_12,Griffin,dem,N,29.2,"99,199",2020
Pennsylvania_district_13,Rowley,dem,N,26.5,"96,612",2020
Pennsylvania_district_14,Marx,dem,N,35.3,"131,895",2020
Pennsylvania_district_15,Williams,dem,N,26.5,"92,156",2020
Pennsylvania_district_16,Gnibus,dem,N,40.7,"143,962",2020
Pennsylvania_district_17,Parnell,gop,N,48.9,"212,284",2020
Pennsylvania_district_18,Negron,gop,N,30.8,"118,163",2020
Rhode-Island_district_1,Cicilline,dem,Y,71.3,"158,550",2020
Rhode-Island_district_2,Lancia,gop,N,41.6,"109,894",2020
South-Carolina_district_1,Cunningham,dem,Y,49.4,"210,627",2020
South-Carolina_district_2,Boroughs,dem,N,42.6,"155,118",2020
South-Carolina_district_3,Cleveland,dem,N,28.7,"95,712",2020
South-Carolina_district_4,Nelson,dem,N,36.9,"133,023",2020
South-Carolina_district_5,Brown,dem,N,39.9,"145,979",2020
South-Carolina_district_6,McCollum,gop,N,30.8,"89,258",2020
South-Carolina_district_7,Watson,dem,N,38.2,"138,863",2020
South-Dakota_district_1,Johnson,gop,Y,81,"321,984",2020
Tennessee_district_1,Walsingham,dem,N,22.5,"68,617",2020
Tennessee_district_2,Hoyos,dem,N,31.1,"109,684",2020
Tennessee_district_3,Gorman,dem,N,30.5,"97,687",2020
Tennessee_district_4,Hale,dem,N,33.3,"111,908",2020
Tennessee_district_5,Cooper,dem,Y,0,0,2020
Tennessee_district_6,Finley,dem,N,24,"83,852",2020
Tennessee_district_7,Sreepada,dem,N,27.3,"95,839",2020
Tennessee_district_8,Pearson,dem,N,29.5,"97,890",2020
Tennessee_district_9,Bergmann,gop,N,20.1,"48,818",2020
Texas_district_1,Gilbert,dem,N,27.4,"83,016",2020
Texas_district_2,Ladjevardian,dem,N,42.8,"148,374",2020
Texas_district_3,Seikaly,dem,N,42.9,"179,458",2020
Texas_district_4,Foster,dem,N,22.7,"76,326",2020
Texas_district_5,Salter,dem,N,35.9,"100,743",2020
Texas_district_6,Daniel,dem,N,44,"149,530",2020
Texas_district_7,Hunt,gop,N,47.5,"149,054",2020
Texas_district_8,Hernandez,dem,N,25.5,"97,409",2020
Texas_district_9,Teague,gop,N,21.6,"49,575",2020
Texas_district_10,Siegel,dem,N,45.3,"187,686",2020
Texas_district_11,Hogg,dem,N,18.3,"53,394",2020
Texas_district_12,Welch,dem,N,33,"121,250",2020
Texas_district_13,Trujillo,dem,N,18.5,"50,477",2020
Texas_district_14,Bell,dem,N,38.4,"118,574",2020
Texas_district_15,De La Cruz-Hernandez,gop,N,47.6,"109,017",2020
Texas_district_16,Armendariz-Jackson,gop,N,35.3,"84,006",2020
Texas_district_17,Kennedy,dem,N,40.9,"125,565",2020
Texas_district_18,Champion,gop,N,23.5,"58,033",2020
Texas_district_19,Watson,dem,N,22.9,"60,583",2020
Texas_district_20,Garza,gop,N,33.1,"89,628",2020
Texas_district_21,Davis,dem,N,45.4,"205,780",2020
Texas_district_22,Kulkarni,dem,N,44.6,"181,998",2020
Texas_district_23,Ortiz Jones,dem,N,46.6,"137,693",2020
Texas_district_24,Valenzuela,dem,N,47.5,"163,326",2020
Texas_district_25,Oliver,dem,N,42.1,"165,697",2020
Texas_district_26,Iannuzzi,dem,N,37.3,"161,009",2020
Texas_district_27,De La Fuente,dem,N,34.9,"95,466",2020
Texas_district_28,Whitten,gop,N,39,"91,925",2020
Texas_district_29,Blanco,gop,N,27.4,"42,840",2020
Texas_district_30,Pennie,gop,N,18.4,"48,685",2020
Texas_district_31,Imam,dem,N,44.3,"176,293",2020
Texas_district_32,Collins,gop,N,45.9,"157,867",2020
Texas_district_33,Vasquez,gop,N,25.2,"39,638",2020
Texas_district_34,Gonzalez,gop,N,41.8,"84,119",2020
Texas_district_35,Sharon,gop,N,29.9,"80,795",2020
Texas_district_36,Lewis,dem,N,24.3,"73,418",2020
Utah_district_1,Parry,dem,N,30.4,"104,194",2020
Utah_district_2,Weston,dem,N,36.6,"129,762",2020
Utah_district_3,Thorpe,dem,N,26.8,"96,067",2020
Utah_district_4,McAdams,dem,Y,46.7,"175,923",2020
Vermont_district_1,Berry,gop,N,27,"95,830",2020
Virginia_district_1,Rashid,dem,N,41.8,"186,923",2020
Virginia_district_2,Taylor,gop,N,45.9,"165,031",2020
Virginia_district_3,Collick,gop,N,31.5,"107,299",2020
Virginia_district_4,Benjamin,gop,N,38.3,"149,625",2020
Virginia_district_5,Webb,dem,N,47.4,"190,315",2020
Virginia_district_6,Betts,dem,N,35.3,"134,729",2020
Virginia_district_7,Freitas,gop,N,49.1,"222,623",2020
Virginia_district_8,Jordan,gop,N,24,"95,365",2020
Virginia_district_9,Griffith,gop,Y,0,0,2020
Virginia_district_10,Andrews,gop,N,43.4,"206,253",2020
Virginia_district_11,Anantatmula,gop,N,28.4,"111,380",2020
Washington_district_1,Beeler,gop,N,41.4,"176,407",2020
Washington_district_2,Hazelo,gop,N,36.8,"148,384",2020
Washington_district_3,Long,dem,N,43.5,"181,347",2020
Washington_district_4,McKinley,dem,N,33.7,"102,667",2020
Washington_district_5,Wilson,dem,N,38.6,"155,737",2020
Washington_district_6,Kreiselmaier,gop,N,40.6,"168,783",2020
Washington_district_7,Keller,gop,N,16.8,"78,240",2020
Washington_district_8,Jensen,gop,N,48.2,"198,423",2020
Washington_district_9,Basler,gop,N,25.7,"89,697",2020
Washington_district_10,Doglio,dem,N,41.9,"121,040",2020
West-Virginia_district_1,Cline,dem,N,31,"81,177",2020
West-Virginia_district_2,Kunkel,dem,N,36.9,"100,799",2020
West-Virginia_district_3,Turner,dem,N,28.7,"64,927",2020
Wisconsin_district_1,Polack,dem,N,40.6,"163,170",2020
Wisconsin_district_2,Theron,gop,N,30.3,"138,306",2020
Wisconsin_district_3,Van Orden,gop,N,48.7,"189,524",2020
Wisconsin_district_4,Rogers,gop,N,22.7,"70,769",2020
Wisconsin_district_5,Palzewicz,dem,N,39.9,"175,902",2020
Wisconsin_district_6,King,dem,N,40.7,"164,239",2020
Wisconsin_district_7,Zunker,dem,N,39.2,"162,741",2020
Wisconsin_district_8,Stuck,dem,N,35.8,"149,558",2020
Wyoming_district_1,Grey Bull,dem,N,24.6,"66,576",2020
